----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-02-21 16:18:09.035753

Actual Temperature / SetPoint / V1 / V2
0 0 0.1145 4.3413
21.18  0.00  0.1216 4.3586
20.97  0.00  0.1216 4.3586
20.94  0.00  0.1353 4.3452
21.00  0.00  0.1353 4.3452
20.90  0.00  0.1338 4.3589
21.00  0.00  0.1338 4.3589
20.97  0.00  0.1304 4.3525
20.97  0.00  0.1304 4.3525
Print progress: 4.3478260869565215%
21.18  0.00  0.1283 4.3651
Print progress: 6.521739130434782%
20.94  0.00  0.1187 4.3704
20.94  0.00  0.1105 4.3875
20.94  0.00  0.11 4.3768
20.94  0.00  0.1178 4.3561
20.94  0.00  0.1263 4.3535
20.94  0.00  0.1289 4.3484
20.94  0.00  0.1289 4.3484
20.94  0.00  0.1328 4.3439
20.94  0.00  0.1328 4.3439
20.94  0.00  0.1299 4.3424
20.94  0.00  0.1299 4.3424
20.94  0.00  0.1321 4.3401
20.94  0.00  0.1321 4.3401
20.94  0.00  0.1287 4.3524
20.94  0.00  0.1244 4.3468
20.94  0.00  0.1244 4.3468
20.94  0.00  0.1239 4.3483
20.94  0.00  0.1239 4.3483
20.94  0.00  0.1248 4.3508
20.94  0.00  0.1248 4.3508
20.94  0.00  0.1232 4.3446
20.94  0.00  0.1232 4.3446
20.94  0.00  0.1285 4.3406
20.94  0.00  0.1285 4.3406
20.94  0.00  0.1284 4.3445
20.94  0.00  0.1284 4.3445
20.94  0.00  0.1354 4.3508
20.94  0.00  0.1354 4.3508
20.94  0.00  0.1337 4.3546
20.94  0.00  0.1337 4.3546
20.94  0.00  0.1293 4.3477
20.94  0.00  0.1293 4.3477
20.94  0.00  0.1227 4.3403
20.94  0.00  0.1227 4.3403
20.94  0.00  0.1215 4.3434
20.94  0.00  0.1215 4.3434
20.94  0.00  0.1217 4.3506
20.94  0.00  0.1217 4.3506
20.94  0.00  0.1222 4.3563
20.94  0.00  0.1278 4.3547
20.94  0.00  0.1278 4.3547
20.94  0.00  0.1273 4.3242
20.94  0.00  0.1273 4.3242
20.94  0.00  0.1326 4.3594
20.94  0.00  0.1326 4.3594
20.94  0.00  0.1331 4.3516
20.94  0.00  0.1331 4.3516
20.94  0.00  0.1324 4.3386
20.94  0.00  0.1324 4.3386
20.94  0.00  0.1345 4.3419
20.94  0.00  0.1345 4.3419
20.94  0.00  0.1278 4.3481
20.94  0.00  0.1278 4.3481
20.94  0.00  0.1233 4.3529
20.94  0.00  0.1233 4.3529
20.94  0.00  0.1182 4.3419
20.94  0.00  0.1182 4.3419
20.94  0.00  0.1215 4.3431
20.94  0.00  0.1215 4.3431
20.94  0.00  0.1223 4.3473
20.94  0.00  0.1223 4.3473
20.94  0.00  0.1265 4.351
20.94  0.00  0.1321 4.3461
20.94  0.00  0.1321 4.3461
20.94  0.00  0.132 4.3536
20.94  0.00  0.132 4.3536
20.94  0.00  0.1346 4.3429
20.94  0.00  0.1346 4.3429
20.94  0.00  0.1339 4.344
20.94  0.00  0.1339 4.344
20.94  0.00  0.1339 4.3434
20.94  0.00  0.1339 4.3434
20.94  0.00  0.1315 4.3408
21.24  0.00  0.1315 4.3408
21.09  0.00  0.1222 4.3651
Print progress: 10.869565217391305%
21.15  0.00  0.1222 4.3651
21.15  0.00  0.1191 4.3461
21.15  0.00  0.1191 4.3461
21.15  0.00  0.1193 4.349
21.15  0.00  0.1193 4.349
21.15  0.00  0.1227 4.3409
21.15  0.00  0.1227 4.3409
21.15  0.00  0.1257 4.3602
21.15  0.00  0.1294 4.3483
21.15  0.00  0.1294 4.3483
21.15  0.00  0.1281 4.343
21.15  0.00  0.1281 4.343
21.15  0.00  0.1354 4.3523
21.15  0.00  0.1354 4.3523
21.15  0.00  0.1327 4.3546
21.15  0.00  0.1327 4.3546
21.15  0.00  0.1335 4.3375
21.15  0.00  0.1335 4.3375
21.15  0.00  0.1337 4.3503
21.15  0.00  0.1337 4.3503
21.15  0.00  0.1281 4.3442
21.15  0.00  0.1281 4.3442
21.15  0.00  0.1212 4.3535
21.15  0.00  0.1212 4.3535
21.15  0.00  0.1191 4.3407
21.15  0.00  0.1191 4.3407
21.15  0.00  0.1219 4.3478
21.15  0.00  0.1254 4.3451
21.15  0.00  0.1254 4.3451
21.15  0.00  0.1267 4.3519
21.15  0.00  0.1267 4.3519
21.15  0.00  0.1333 4.3484
21.15  0.00  0.1333 4.3484
21.15  0.00  0.1295 4.3556
21.15  0.00  0.1295 4.3556
21.15  0.00  0.135 4.3525
21.15  0.00  0.135 4.3525
21.15  0.00  0.1305 4.3671
21.15  0.00  0.1305 4.3671
21.15  0.00  0.1316 4.3461
21.15  0.00  0.1316 4.3461
21.15  0.00  0.1279 4.3531
21.15  0.00  0.1279 4.3531
21.15  0.00  0.1217 4.3365
21.15  0.00  0.1187 4.3407
21.15  0.00  0.1187 4.3407
21.15  0.00  0.1206 4.3488
21.15  0.00  0.1206 4.3488
21.15  0.00  0.1246 4.3459
21.15  0.00  0.1246 4.3459
21.15  0.00  0.1283 4.3455
21.15  0.00  0.1283 4.3455
21.15  0.00  0.1307 4.3628
21.15  0.00  0.1307 4.3628
21.15  0.00  0.1304 4.337
21.15  0.00  0.1304 4.337
21.15  0.00  0.1329 4.343
21.15  0.00  0.1329 4.343
21.15  0.00  0.132 4.3556
21.15  0.00  0.132 4.3556
21.15  0.00  0.1261 4.354
21.15  0.00  0.1268 4.3507
21.15  0.00  0.1268 4.3507
21.15  0.00  0.119 4.3542
21.15  0.00  0.119 4.3542
21.15  0.00  0.1205 4.3496
21.15  0.00  0.1205 4.3496
21.15  0.00  0.1161 4.3627
21.15  0.00  0.1161 4.3627
21.15  0.00  0.1195 4.3546
21.15  0.00  0.1195 4.3546
21.06  0.00  0.1257 4.3718
21.39  0.00  0.1257 4.3718
Print progress: 13.043478260869565%
21.42  0.00  0.132 4.3544
Print progress: 15.217391304347828%
